recording_date,case_no,Cart_Center_2,Cart_LT_4,Cart_RT_1,General_3,Injection_Port,Monitor,Patient_Monitor,Ventilator_Monitor,in_case_1
04/12/2022,1,V,V,V,V,,,,,
05/12/2022,1,,,,,,,,,
05/12/2022,2,,,,,,,,,
07/12/2022,1,,V,V,V,,,V,V,
19/12/2022,1,V,V,,V,,,,,
18/01/2023,1,,,,,,,,,
18/01/2023,2,,,,,,,,,
22/01/2023,1,V,V,V,V,,,,,
22/01/2023,2,,,,,,,,,
05/02/2023,1,V,V,V,V,,,V,V,
06/02/2023,1,V,V,V,V,,,V,V,
06/02/2023,2,V,V,V,V,,,V,V,V
07/02/2023,1,V,V,V,V,,,V,V,
07/02/2023,2,V,V,V,V,,,V,V,
07/02/2023,3,,,,,,,V,V,
09/02/2023,1,V,V,V,V,,,V,V,
09/02/2023,2,V,V,V,V,,,V,V,V
12/02/2023,1,V,V,V,V,V,,V,V,
15/02/2023,1,V,V,V,V,,,V,V,
16/02/2023,1,V,V,V,V,V,,V,V,
19/02/2023,1,V,V,V,V,V,,,,
20/02/2023,1,V,V,V,V,V,,V,V,
23/02/2023,1,,V,V,V,V,,V,V,
23/02/2023,2,V,V,V,V,V,,V,V,
28/02/2023,1,V,V,V,V,,,V,V,
09/07/2023,1,V,V,V,V,,V,V,V,
09/08/2023,1,V,V,V,V,,V,V,V,
16/08/2023,1,V,V,V,V,,V,V,V,
04/09/2023,1,V,V,V,V,,V,V,V,
04/09/2023,2,V,V,V,V,,V,V,V,
04/09/2023,3,V,V,V,V,,,V,,
26/09/2023,1,V,V,V,V,,V,V,V,
27/09/2023,1,V,V,V,V,,,,V,
27/09/2023,2,V,V,V,V,,V,V,V,
01/10/2023,1,V,V,V,V,,V,V,V,
02/10/2023,1,V,V,V,V,,V,V,,
22/10/2023,1,V,V,V,V,,V,V,V,
23/10/2023,1,V,V,V,V,,V,V,V,
25/10/2023,1,V,V,V,V,V,,V,V,
25/10/2023,2,V,V,V,V,V,,V,V,V
25/10/2023,3,V,V,V,V,V,,V,V,V
08/11/2023,1,V,V,V,V,V,V,,V,
19/11/2023,1,,,,,,,,,
